
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 598.205322, Drift Rate -0.000000, index 832691
Top hit found! SNR 13.147956, Drift Rate -0.000000, index 894947
Top hit found! SNR 11.066221, Drift Rate -0.000000, index 927924
Top hit found! SNR 16.799295, Drift Rate -0.000000, index 44252
Top hit found! SNR 11.735064, Drift Rate -0.000000, index 46392
Top hit found! SNR 2075.775391, Drift Rate -0.000000, index 51062
Top hit found! SNR 33.734146, Drift Rate -0.000000, index 53531
Top hit found! SNR 45.341125, Drift Rate -0.000000, index 110215
Top hit found! SNR 12.398371, Drift Rate -0.000000, index 143197
Top hit found! SNR 15.242199, Drift Rate -0.000000, index 176178
Top hit found! SNR 21.256519, Drift Rate -0.000000, index 178359
Top hit found! SNR 37.774426, Drift Rate -0.000000, index 275119
Top hit found! SNR 10.268902, Drift Rate -0.000000, index 277331
Top hit found! SNR 12.006615, Drift Rate -0.000000, index 308101
Top hit found! SNR 42.582966, Drift Rate -0.000000, index 310323
Top hit found! SNR 2192.239502, Drift Rate -0.000000, index 342535
Top hit found! SNR 15653.125000, Drift Rate -0.000000, index 440023
Top hit found! SNR 50.930672, Drift Rate -0.000000, index 442226
Top hit found! SNR 553.690125, Drift Rate -0.000000, index 442286
Top hit found! SNR 20.383015, Drift Rate -0.000000, index 444101
Top hit found! SNR 362.712524, Drift Rate 0.038266, index 524291
Top hit found! SNR 15.968869, Drift Rate -0.000000, index 538963
Top hit found! SNR 35.369953, Drift Rate -0.000000, index 571945
